tender_ref,title,category,closing_date,num_documents,downloaded_paths
,APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF 9400m² OF grey 80mm INTERLOCKING PAVING BLOCKS AT BULTFONTEIN TECHNICAL DEPARTMENT OFFICES.,Wholesale and retail trade and repair of motor vehicles and motorcycles,in 12 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_CONSTRUCTION_SUPPLY\Tender document - SCM-TSW-24-2025-2026 -  Bultfontein Paving Blocks 9400sq.pdf
,APPOINTMENT OF A PANEL OF COMPANIES FOR THE DESIGN AND CONSTRUCTION OF EXHIBITION STANDS FOR A PERIOD OF THIRTY-SIX (36) MONTHS,Advertising and market research,in 19 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A PAN_CONSTRUCTION\LTA001_2627- PANEL OF COMPANIES FOR THE DESIGN AND CONSTRUCTION OF EXHIBITION STANDS FOR A PERIOD OF 36 MONTHS-SCM_SEWELAN.pdf
,"APPOINTMENT OF A SERVICE PROVIDER FOR WEBSITE DESIGN, HOSTING, MAINTENANCE AND DIGITAL ENHANCEMENT FOR A PERIOD OF 36 MONTHS",Information service activities,in 19 days,1,"C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_CONSTRUCTION_SUPPLY\LTA002_2627-DESIGN, HOSTING AND MAINTENANCE OF LTA WEBSITE FOR A PERIOD OF 36 MONTHS.pdf"
,Publications of names of bidders - Ash Dam Solution Trench Repairs Tenders,Construction,in 12 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Publications of name_CONSTRUCTION\Publication of Names of Bidders - E2689GXMPDUV.pdf
,Publication of names of bidders - Building Renovations Tender,Construction,in 12 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Publication of names_CONSTRUCTION\Publication of Names of Bidders - E2687GXMPDUV.pdf
,APPOINTMENT OF SERVICE PROVIDER FOR SERVICING OF FIRE EXTINGUISHERS IN RATLOU LOCAL MUNICIPALITY,Supplies: General,in 12 days,8,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\SCM-Bid documents MBD 4.doc.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\SCM-Bid documents MBD 9.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\MBD 4 (declaration of interests) RATLOU LOCAL MUNICIPALITY.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\SCM-Bid documents MBD 7.1.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\SCM-Bid documents MBD 1 Invitation to bid.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\SCM-Bid documents MBD 8.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\SCM-Bid documents MBD 7.2.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF SERVI_SUPPLY\EADVERT - SERVICE OF FIRE EXTINGUISHERS.pdf
,Plant Hire for Infrastructure Roads Maintenance (Maphophoma to Mchenene in Ward 12),Civil engineering,in 4 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Plant Hire for Infra_CONSTRUCTION\Tender Document 9-1 T25-2025-26 Plant Hire for Infrastructure Roads Maintenance (Maphophoma to Mchenene) in W12.pdf
,Plant Hire for Infrastructure Roads Maintenance (Ntabeniyecala to Lindizwe) Services,Civil engineering,in 4 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\Plant Hire for Infra_CONSTRUCTION\Tender Document 9-1 T26-2025-26 Plant Hire for Infrastructure Roads Maintenance (Ntabeniyecala to Lindizwe).pdf
,COMPLETE INFRASTRUCTURE ASSET VERIFICATION FROM DATE OF APPOINTMENT TO 30 JUNE 2029,Activities of head offices; management consultancy activities,in 19 days,1,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\COMPLETE INFRASTRUCT_CONSTRUCTION\Advert - FIN 03-2026-2027.pdf
,APPOINTMENT OF A SERVICE PROVIDER FROM SITA RFB1183 FOR THE ESTABLISHMENT OF AN ICT PORTFOLIO MANAGEMENT OFFICE (PMO) TO DELIVER THE DIGITAL TRANSFORMATION STRATEGY (MICROSOFT-BASED PORTFOLIO MANAGEMENT) FOR A PERIOD OF THIRTY-SIX (36) MONTHS.,Services: Professional,in 19 days,2,C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_SUPPLY\General_Conditions_of_Contract-_July_2011.pdf; C:\Users\allan\OneDrive\Documents\tender-engine-api\downloads\APPOINTMENT OF A SER_SUPPLY\INVITATION TO BID DHA04-2026.pdf
